City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,walvis bay,-22.9575,14.5053,18.94,82,100,4.13,NA,1675622692
210,yerbogachen,61.2767,108.0108,-34.2,100,95,1.07,RU,1675622690
211,nelson bay,-32.7167,152.15,23.33,90,0,2.68,AU,1675623243
212,maldonado,-34.6667,-54.9167,26.66,47,14,4.94,UY,1675623031
213,aklavik,68.2191,-135.0107,-44.0,66,20,1.03,CA,1675623091
214,moree,-29.4667,149.85,21.73,71,0,3.82,AU,1675623245
215,hastings,50.8552,0.5729,5.51,19,85,4.27,GB,1675623245
216,anori,-3.7728,-61.6442,27.87,85,100,1.74,BR,1675623246
217,polyarnyy,69.1989,33.4478,-11.41,94,100,3.27,RU,1675623247
218,san isidro,-12.1167,-77.05,23.77,73,40,6.17,PE,1675623247
219,khatanga,71.9667,102.5,-34.98,96,94,2.4,RU,1675623248
220,mount pleasant,32.7941,-79.8626,15.17,97,100,3.09,US,1675623203
221,abbeville,50.1,1.8333,6.39,87,100,3.29,FR,1675622920
222,deputatskiy,69.3,139.9,-31.59,98,100,1.63,RU,1675623249
223,yabelo,4.8833,38.0833,19.62,16,6,5.91,ET,1675623251
224,manyana,-23.4,21.7167,24.87,55,100,3.19,BW,1675623254
225,vuktyl,63.8567,57.3094,-17.55,99,94,1.37,RU,1675623255
226,evensk,61.95,159.2333,-27.4,79,35,3.69,RU,1675623256
227,ransang,8.9603,117.5828,24.98,86,32,1.38,PH,1675623257
228,matola,-25.9622,32.4589,26.97,69,40,5.14,MZ,1675623258
229,tshikapa,-6.4167,20.8,21.04,91,16,1.9,CD,1675623218
230,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU,1675623259
231,port hardy,50.6996,-127.4199,6.1,93,75,3.09,CA,1675623261
232,erzin,36.9559,36.2,5.93,85,100,3.23,TR,1675623264
233,tambacounda,13.7539,-13.7586,34.03,13,7,3.09,SN,1675623265
234,atuona,-9.8,-139.0333,25.68,80,20,7.47,PF,1675623268
235,tumkur,13.3422,77.1017,20.01,55,74,3.38,IN,1675623268
236,tazmalt,36.3868,4.3989,9.59,82,57,2.06,DZ,1675623269
237,tasiilaq,65.6145,-37.6368,-3.91,87,100,2.25,GL,1675623269
238,beringovskiy,63.05,179.3167,-28.52,93,100,5.49,RU,1675623270
239,kavaratti,10.5669,72.642,27.06,75,11,3.16,IN,1675623270
240,bud,39.447,-86.1758,9.26,63,100,6.46,US,1675623271
241,santa fe,-31.6333,-60.7,34.45,29,0,3.58,AR,1675623031
242,yaan,7.3833,8.5667,32.81,13,90,2.69,NG,1675623271
243,dali,25.7,100.1833,6.02,56,0,2.42,CN,1675623272
244,fairbanks,64.8378,-147.7164,-24.0,74,0,2.06,US,1675623032
245,chuy,-33.6971,-53.4616,25.14,52,0,4.97,UY,1675622696
246,nishihara,26.1842,127.7558,18.81,94,75,2.57,JP,1675623273
247,ekhabi,53.5102,142.9671,-19.78,94,100,4.44,RU,1675623273
248,emba,48.8264,58.1442,-18.18,97,78,2.67,KZ,1675623274
249,butembo,0.15,29.2833,16.57,52,22,1.64,CD,1675623274
250,juneau,58.3019,-134.4197,1.79,100,99,2.1,US,1675623096
251,roma,43.2128,-75.4557,6.32,46,0,4.63,US,1675622975
252,inirida,3.8653,-67.9239,27.81,76,100,1.23,CO,1675623275
253,smidovich,48.6,133.8167,-25.57,95,11,3.15,RU,1675623275
254,chiang khong,20.2613,100.4046,20.62,69,71,0.41,TH,1675623276
255,alice springs,-23.7,133.8833,12.75,82,0,2.57,AU,1675623276
256,fereydun kenar,36.6864,52.5225,10.66,57,0,1.55,IR,1675623277
257,mancora,-4.1078,-81.0475,28.11,60,68,5.48,PE,1675623277
258,esperance,-33.8667,121.9,20.33,66,67,7.76,AU,1675623278
259,auki,-8.7676,160.7034,24.88,94,100,5.53,SB,1675623278
260,klaksvik,62.2266,-6.589,8.51,95,100,15.32,FO,1675623278
261,boyolangu,-8.1181,111.8935,24.57,82,100,0.53,ID,1675623212
262,grand-santi,4.25,-54.3833,24.4,97,100,1.58,GF,1675623279
263,pringsewu,-5.3582,104.9744,23.58,75,99,0.8,ID,1675623279
264,gravelbourg,49.8834,-106.5512,2.15,80,7,5.12,CA,1675623280
265,norman wells,65.282,-126.8329,-32.98,68,75,1.03,CA,1675623280
266,bubaque,11.2833,-15.8333,25.34,71,34,4.57,GW,1675623281
267,vitim,59.4511,112.5578,-23.71,100,100,1.01,RU,1675623131
268,batemans bay,-35.7167,150.1833,19.5,82,79,1.26,AU,1675623281
269,shingu,33.7333,135.9833,3.78,52,100,2.54,JP,1675623282
270,lastoursville,-0.8143,12.7287,24.93,75,23,1.27,GA,1675623282
271,khandyga,62.6667,135.6,-36.4,100,98,0.13,RU,1675623283
272,lasa,46.6166,10.7002,2.49,93,78,2.71,IT,1675623283
273,faanui,-16.4833,-151.75,27.38,75,8,6.51,PF,1675623096
274,kommunisticheskiy,61.6789,64.4819,-16.38,99,100,0.63,RU,1675623284
275,jalu,29.0331,21.5482,13.85,66,56,7.08,LY,1675623284
276,berlevag,70.8578,29.0864,-5.0,86,100,10.8,NO,1675623285
277,ames,42.0347,-93.6199,5.01,76,0,4.63,US,1675623138
278,flin flon,54.7682,-101.865,-9.09,86,100,3.6,CA,1675623285
279,sayyan,15.1718,44.3244,13.47,33,100,1.24,YE,1675623286
280,aitape,-3.1374,142.3475,25.41,89,100,1.31,PG,1675623286
281,caravelas,-17.7125,-39.2481,28.83,66,0,5.68,BR,1675623286
282,wegrow,52.3995,22.0163,-4.46,87,18,2.68,PL,1675623287
283,bulgan,48.8125,103.5347,-18.79,96,77,1.56,MN,1675623287
284,mariental,-24.6333,17.9667,29.6,37,100,7.47,NA,1675623288
285,kalmunai,7.4167,81.8167,24.56,86,100,4.25,LK,1675623288
286,hofn,64.2539,-15.2082,7.44,98,100,10.45,IS,1675623289
287,kurush,41.2841,47.8345,-10.93,78,33,2.72,RU,1675623289
288,el real de santa maria,8.109,-77.7325,32.56,47,59,2.18,PA,1675623289
289,babynino,54.39,35.73,-3.14,93,100,2.81,RU,1675623290
290,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,93,100,1.0,RU,1675623290
291,oussouye,12.485,-16.5469,32.1,35,2,5.55,SN,1675623291
292,ponta do sol,32.6667,-17.1,16.74,49,70,1.97,PT,1675623291
293,key largo,25.0865,-80.4473,27.22,78,7,2.71,US,1675623060
294,aller,43.1187,-5.5839,5.11,95,61,0.95,ES,1675623292
295,krasnoselkup,65.7,82.4667,-17.04,98,91,2.62,RU,1675623292
296,rawson,-43.3002,-65.1023,26.84,41,2,8.86,AR,1675623293
297,tadine,-21.55,167.8833,26.06,89,87,4.14,NC,1675623293
298,ambulu,-8.345,113.6058,24.43,87,100,1.65,ID,1675623293
299,oppdal,62.5943,9.6912,-4.95,92,100,3.49,NO,1675623294
300,berdigestyakh,62.0989,126.6992,-37.63,100,100,1.14,RU,1675623294
301,pundaguitan,6.3711,126.1689,26.8,75,69,3.0,PH,1675623295
302,half moon bay,37.4636,-122.4286,13.83,84,40,6.17,US,1675623295
303,carberry,49.8689,-99.3602,-5.87,93,97,3.26,CA,1675623295
304,asau,46.4333,26.4,-4.29,93,100,3.44,RO,1675623296
305,homer,59.6425,-151.5483,1.94,69,100,10.29,US,1675623103
306,cayenne,4.9333,-52.3333,24.02,94,75,0.0,GF,1675623296
307,shache,38.4167,77.2406,-3.35,78,100,2.39,CN,1675623297
308,general roca,-39.0333,-67.5833,39.23,5,35,9.19,AR,1675623297
309,vestmannaeyjar,63.4427,-20.2734,8.55,100,100,16.98,IS,1675623182
310,ulaanbaatar,47.9077,106.8832,-21.93,71,0,1.0,MN,1675623131
311,kieta,-6.2167,155.6333,25.76,84,100,1.1,PG,1675623298
312,nome,64.5011,-165.4064,-8.96,79,75,3.09,US,1675623298
313,lata,40.1629,-8.3327,9.22,67,0,2.19,PT,1675623299
314,kamenka,51.3223,42.7678,-11.94,98,81,2.24,RU,1675623299
315,erechim,-27.6342,-52.2739,27.69,25,0,4.09,BR,1675623300
316,oranjemund,-28.55,16.4333,17.41,95,99,5.59,NA,1675623300
317,sakaiminato,35.55,133.2333,-0.01,93,40,3.09,JP,1675623301
318,la seyne-sur-mer,43.0982,5.8847,12.01,83,100,1.34,FR,1675622710
319,boende,-0.2167,20.8667,27.09,45,46,0.38,CD,1675623302
320,arman,59.7,150.1667,-26.13,83,98,3.72,RU,1675623303
321,iracoubo,5.4802,-53.2011,24.99,88,99,6.38,GF,1675623304
322,tromso,69.6496,18.957,3.01,75,75,1.54,NO,1675623050
323,lagoa,39.05,-27.9833,15.32,84,24,7.75,PT,1675623306
324,provideniya,64.3833,-173.3,-16.99,95,99,4.63,RU,1675623308
325,huaquillas,-3.4833,-80.2333,30.13,58,40,2.57,EC,1675623309
326,porbandar,21.6422,69.6093,21.07,66,0,4.49,IN,1675623310
327,waddan,29.1614,16.139,13.2,52,44,4.55,LY,1675623311
328,murgab,37.4966,61.9714,5.93,70,40,2.06,TM,1675623312
329,maningrida,-12.0667,134.2667,24.51,86,100,2.59,AU,1675623313
330,namatanai,-3.6667,152.4333,25.62,82,33,1.36,PG,1675623084
331,ewa beach,21.3156,-158.0072,24.13,79,40,4.63,US,1675623074
332,chake chake,-5.2459,39.7666,25.86,79,10,4.23,TZ,1675623315
333,praia,14.9215,-23.5087,24.3,57,20,9.26,CV,1675623048
334,sechura,-5.5569,-80.8222,28.8,56,18,7.55,PE,1675623318
335,santa cruz,-17.8,-63.1667,29.03,65,75,5.14,BO,1675623320
336,koraput,18.8167,82.7167,15.88,47,0,1.48,IN,1675623320
337,antofagasta,-23.65,-70.4,24.6,70,2,3.88,CL,1675622764
338,barrow,71.2906,-156.7887,-27.99,76,100,3.6,US,1675623275
339,baghdad,33.3406,44.4009,11.95,58,0,2.06,IQ,1675623322
340,abha,18.2164,42.5053,13.14,72,0,5.14,SA,1675623323
341,ahuimanu,21.4447,-157.8378,24.0,84,40,4.63,US,1675623324
342,san cristobal,7.7669,-72.225,26.1,62,68,2.86,VE,1675623326
343,talcahuano,-36.7167,-73.1167,19.82,68,16,3.6,CL,1675623233
344,muncar,-8.4333,114.3333,24.61,84,100,3.63,ID,1675623328
345,severomuysk,56.1481,113.4267,-23.63,99,100,2.2,RU,1675623329
346,port perry,44.1068,-78.9444,3.82,100,100,6.32,CA,1675623330
